Hãng xe,Dòng xe,Năm đăng ký,Số Km đã đi,Tình trạng,Loại xe,Dung tích xe,Xuất xứ,Chính sách bảo hành,Giá
Yamaha,R,2021,4000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,40.000.000 đ
Yamaha,Exciter,2018,7000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,17.500.000 đ
Yamaha,MT,2020,2000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,50.000.000 đ
Kawasaki,Max,2012,2,Đã sử dụng,Xe số,50 - 100 cc,Đang cập nhật,Bảo hành hãng,1.500.000 đ
Yamaha,TFX,2020,5000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,38.880.000 đ
Honda,Cub,2012,2,Đã sử dụng,Xe số,50 - 100 cc,Đang cập nhật,Bảo hành hãng,1.600.000 đ
GPX,Demon 150GR,2019,4000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,28.888.888 đ
Yamaha,MT,2021,1500,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,61.000.000 đ
Brixton,BX 150,2018,10000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,38.000.000 đ
Yamaha,MT,2020,3000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,40.000.000 đ
GPX,Legend 150S,2019,10000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,38.000.000 đ
Honda,SH,2009,10000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,109.000.000 đ
Piaggio,Vespa,2018,6000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,34.000.000 đ
Honda,Vision,2017,12345,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,22.500.000 đ
Yamaha,R,2019,10000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,30.000.000 đ
GPX,Legend 150S,2022,400,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,30.000.000 đ
Honda,Air Blade,2013,18000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,15.000.000 đ
Hãng khác,Dòng khác,2022,10000,Đã sử dụng,Tay ga,50 - 100 cc,Đang cập nhật,Bảo hành hãng,12.800.000 đ
Yamaha,Nouvo,2015,21,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,7.800.000 đ
Honda,SH,2016,25000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,52.000.000 đ
Yamaha,Nouvo,2015,21,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,7.800.000 đ
Honda,SH,2016,25000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,52.000.000 đ
Honda,Cub,2019,1000,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,84.000.000 đ
Honda,Wave,2010,30000,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,7.800.000 đ
Honda,Cub,2013,2,Đã sử dụng,Xe số,Dưới 50 cc,Đang cập nhật,Bảo hành hãng,2.100.000 đ
Yamaha,Sirius,2010,40000,Đã sử dụng,Xe số,50 - 100 cc,Đang cập nhật,Bảo hành hãng,15.500.000 đ
Yamaha,Nouvo,2011,65238,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,3.000.000 đ
SYM,Attila,2016,50000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,2.900.000 đ
Honda,Air Blade,2015,26,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,25.800.000 đ
Honda,SH,2008,370000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,62.000.000 đ
Honda,Dòng khác,2009,12000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,9.000.000 đ
Honda,SH,2022,2000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,83.000.000 đ
Kawasaki,Max,2010,2,Đã sử dụng,Xe số,50 - 100 cc,Đang cập nhật,Bảo hành hãng,1.700.000 đ
Yamaha,Exciter,2012,88888,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,13.000.000 đ
Honda,PS,2007,50000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,20.000.000 đ
Honda,Wave,2020,43560,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,7.500.000 đ
SYM,Angela,2011,2,Đã sử dụng,Xe số,50 - 100 cc,Đang cập nhật,Bảo hành hãng,2.100.000 đ
Honda,Win,2000,10000,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,11.000.000 đ
Honda,Vision,2013,12345,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,13.500.000 đ
Honda,Spacy,2010,10000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,24.800.000 đ
Honda,SH,2019,5000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,90.000.000 đ
Honda,Future,2016,55000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,14.800.000 đ
Honda,Vario,2021,8000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,36.800.000 đ
Kawasaki,Z900,2020,1400,Đã sử dụng,Tay côn/Moto,Trên 175 cc,Đang cập nhật,Bảo hành hãng,209.000.000 đ
Honda,Air Blade,2021,9,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,39.500.000 đ
Honda,Wave,2012,688865,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,4.900.000 đ
Honda,Lead,2014,40000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,8.500.000 đ
Yamaha,Jupiter,2006,77,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,8.500.000 đ
Honda,Air Blade,2022,6,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,43.800.000 đ
Honda,Cub,1990,15000,Đã sử dụng,Xe số,Dưới 50 cc,Đang cập nhật,Bảo hành hãng,8.700.000 đ
Honda,Air Blade,2008,86688,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,10.500.000 đ
Honda,SH,2011,30000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,157.000.000 đ
Honda,Chaly,1984,58000,Đã sử dụng,Xe số,50 - 100 cc,Đang cập nhật,Bảo hành hãng,12.500.000 đ
Yamaha,Sirius,2017,12345,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,14.000.000 đ
Honda,SH,2022,3000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,78.000.000 đ
Honda,Air Blade,2013,400000,Đã sử dụng,Tay ga,50 - 100 cc,Đang cập nhật,Bảo hành hãng,15.000.000 đ
Honda,Wave,2005,7979,Đã sử dụng,Xe số,50 - 100 cc,Đang cập nhật,Bảo hành hãng,25.800.000 đ
Honda,67,trước năm 1980,948505,Đã sử dụng,Tay côn/Moto,Dưới 50 cc,Đang cập nhật,Bảo hành hãng,10.000.000 đ
Piaggio,Zip,2014,30000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,7.900.000 đ
Yamaha,Jupiter,2004,500000,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,7.500.000 đ
Honda,Air Blade,2021,15000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,47.000.000 đ
Yamaha,Exciter,2019,10000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,25.500.000 đ
Yamaha,Janus,2016,33652,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,15.500.000 đ
Piaggio,Liberty,2013,40,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,10.300.000 đ
Honda,Winner X,2022,4500,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,27.500.000 đ
Yamaha,Mio,2023,4000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,26.000.000 đ
