Hãng xe,Dòng xe,Năm đăng ký,Số Km đã đi,Tình trạng,Loại xe,Dung tích xe,Xuất xứ,Chính sách bảo hành,Giá
Yamaha,Janus,2017,123,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,14.800.000 đ
Honda,Cub,1992,999998,Đã sử dụng,Xe số,50 - 100 cc,Đang cập nhật,Bảo hành hãng,11.000.000 đ
Yamaha,Exciter,2021,4400,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,40.000.000 đ
Suzuki,Epicuro,2012,23000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,5.000.000 đ
Suzuki,GZ,2017,2079,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,
Suzuki,GN,2001,100000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,17.000.000 đ
SYM,Attila,2009,34567,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,5.400.000 đ
Yamaha,Sirius,2012,983,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,5.900.000 đ
Honda,Click,2010,50000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,9.700.000 đ
Honda,Sonic,2019,18000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,31.000.000 đ
Yamaha,Exciter,2018,22000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,20.800.000 đ
Honda,SH Mode,2016,190346,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,37.000.000 đ
Piaggio,Liberty,2011,30000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,7.500.000 đ
Honda,Vision,2014,1,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,15.800.000 đ
Piaggio,Liberty,2011,30000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,7.500.000 đ
Honda,Vision,2014,1,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,15.800.000 đ
Honda,CB,2020,6364,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,
Honda,Vario,2019,5,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,40.000.000 đ
Honda,SH,2019,3000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,92.000.000 đ
Yamaha,R,2016,20000,Đã sử dụng,Tay côn/Moto,Trên 175 cc,Đang cập nhật,Bảo hành hãng,65.000.000 đ
Honda,SH,2006,10,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,98.000.000 đ
Honda,SH,2011,23000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,129.000.000 đ
Hãng khác,Dòng khác,2016,222,Đã sử dụng,Tay côn/Moto,Dưới 50 cc,Đang cập nhật,Bảo hành hãng,4.800.000 đ
Honda,Air Blade,2011,60000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,14.800.000 đ
Piaggio,Zip,2018,15000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,15.500.000 đ
Honda,Air Blade,2011,60000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,14.800.000 đ
Piaggio,Zip,2018,15000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,15.500.000 đ
Honda,Vision,2016,13000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,24.500.000 đ
Honda,Winner X,2019,397989,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,20.800.000 đ
Honda,Wave,2012,30000,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,7.800.000 đ
Honda,Dylan,2005,23456,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,13.700.000 đ
Honda,SH,2012,27000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,129.999.999 đ
Honda,Future,2010,16,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,46.500.000 đ
Suzuki,Sapphire,2007,39,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,3.900.000 đ
Piaggio,Vespa S125,2013,25000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,28.500.000 đ
SYM,Shark,2013,27000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,14.700.000 đ
Yamaha,Nouvo,2012,9000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,4.800.000 đ
Ducati,Monster,2020,5000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,11.000.000 đ
Honda,Sonic,2020,12000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,35.800.000 đ
Honda,Vario,2020,1,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,42.500.000 đ
Honda,SH,2010,10000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,195.000.000 đ
