Hãng xe,Dòng xe,Năm đăng ký,Số Km đã đi,Tình trạng,Loại xe,Dung tích xe,Xuất xứ,Chính sách bảo hành,Giá
Honda,Air Blade,2012,2,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,12.300.000 đ
Honda,Winner X,2021,5000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,24.000.000 đ
Honda,Wave,2012,39000,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,8.800.000 đ
Yamaha,Exciter,2014,39000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,12.800.000 đ
Honda,Air Blade,2013,39000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,17.800.000 đ
Honda,Air Blade,2012,39000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,11.800.000 đ
Honda,Vario,2019,11000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,39.000.000 đ
Suzuki,Raider,2022,24000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Nhật Bản,Bảo hành hãng,14.500.000 đ
Yamaha,Exciter,2014,22222,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,27.500.000 đ
Honda,Wave,2009,39000,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,9.800.000 đ
Yamaha,Sirius,2018,39000,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,10.800.000 đ
Yamaha,Luvias,2012,39000,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,8.800.000 đ
Honda,Dream,1995,10000,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,20.000.000 đ
Yamaha,Sirius,2009,39000,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,8.800.000 đ
Honda,Air Blade,2012,39000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,12.800.000 đ
Honda,Lead,2013,39000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,18.800.000 đ
Yamaha,Exciter,2011,123456,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,13.400.000 đ
Yamaha,Grande,2016,39000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,18.800.000 đ
Yamaha,Exciter,2014,55000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,17.000.000 đ
Piaggio,Vespa,2012,39000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,12.800.000 đ
Honda,SH,2022,6666,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,6.989.898 đ
Honda,Lead,2012,16000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,9.600.000 đ
Yamaha,Exciter,2017,10000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,2,Đang cập nhật,17.000.000 đ
Yamaha,Janus,2018,22,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,17.800.000 đ
Honda,Air Blade,2011,39000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,14.800.000 đ
Yamaha,Nvx,2017,20,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,24.800.000 đ
Honda,Future,2017,45000,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,18.800.000 đ
Honda,Click,2009,39000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,9.800.000 đ
Yamaha,Exciter,2011,48000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,13.500.000 đ
Yamaha,Nouvo,2013,39000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,8.800.000 đ
Yamaha,Nouvo,2011,45000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,4.800.000 đ
Honda,Dylan,2017,686868,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,29.000.000 đ
Piaggio,Vespa,2017,10,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,37.800.000 đ
Honda,Air Blade,2008,39000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,7.800.000 đ
Honda,Air Blade,2019,111110,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,9.800.000 đ
Honda,SH,2015,15,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,58.800.000 đ
Honda,Wave,2016,45000,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,10.800.000 đ
Suzuki,Hayate,2013,250000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,4.500.000 đ
Honda,Wave,2004,9999,Đã sử dụng,Xe số,50 - 100 cc,Đang cập nhật,Bảo hành hãng,6.500.000 đ
Honda,Air Blade,2018,10,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,25.800.000 đ
Yamaha,Nouvo,2013,39000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,8.800.000 đ
Honda,SH,2005,5555,Đã sử dụng,Tay ga,100 - 175 cc,Nước khác,Bảo hành hãng,29.950.000 đ
Piaggio,Liberty,2012,45678,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,11.000.000 đ
Yamaha,Exciter,2010,23,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,49.000.000 đ
Honda,PCX,2010,134,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,21.500.000 đ
Yamaha,Nvx,2018,15,Đã sử dụng,Tay ga,Trên 175 cc,Đang cập nhật,Bảo hành hãng,22.800.000 đ
Honda,Winner,2018,5,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,23.500.000 đ
Suzuki,Sport / Xipo,2000,30,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,32.000.000 đ
Honda,SH,2014,12,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,57.800.000 đ
Ducati,Monster,2013,33000,Đã sử dụng,Tay côn/Moto,Trên 175 cc,Đang cập nhật,Bảo hành hãng,119.000.000 đ
Honda,Wave,2014,1000,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,8.000.000 đ
Honda,Air Blade,2008,5,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,13.500.000 đ
Honda,Spacy,1999,10,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,33.300.000 đ
Honda,Dream,2010,100000,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,5.500.000 đ
Piaggio,Liberty,2022,1900,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,45.500.000 đ
Honda,CB,2013,32198,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,90.000.000 đ
Ducati,Hypermotard,2019,25855,Đã sử dụng,Tay côn/Moto,Trên 175 cc,Đang cập nhật,Bảo hành hãng,325.000.000 đ
Honda,Wave,2011,5,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,10.500.000 đ
Piaggio,Vespa,2020,888,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,59.500.000 đ
Ducati,Monster,2016,16000,Đã sử dụng,Tay côn/Moto,Trên 175 cc,Đang cập nhật,Bảo hành hãng,228.000.000 đ
Honda,Vario,2020,5,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,36.000.000 đ
Honda,Vision,2017,14000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,23.800.000 đ
Yamaha,Janus,2023,4000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,27.800.000 đ
Honda,SH,2016,186686,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,56.500.000 đ
Honda,Air Blade,2019,5,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,32.000.000 đ
Honda,SH,2023,1300,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,120.000.000 đ
Honda,Vision,2022,8000,Đã sử dụng,Tay ga,Trên 175 cc,Việt Nam,Bảo hành hãng,46.500.000 đ
SYM,Attila,2012,10000,Đã sử dụng,Xe số,100 - 175 cc,Đài Loan,Bảo hành hãng,2.500.000 đ
Honda,Wave,2013,50000,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,Bảo hành hãng,8.300.000 đ
